internal_id,LexisNexis_id,source,date,annotator,climate_change,attitude,policy
0,042501CN.V67,CNN CNN Special Reports 10:00 PM EST,"April 25, 2020 Saturday",3,Acknowledges,Expresses climate concern,Supports
0,042501CN.V67,CNN CNN Special Reports 10:00 PM EST,"April 25, 2020 Saturday",4,Acknowledges,Expresses climate concern,Supports
1,042808cb.410,CBS News Transcripts CBS THIS MORNING 7:00 AM EST,"April 28, 2020 Tuesday",3,Neutral,Expresses climate concern,Does not mention
1,042808cb.410,CBS News Transcripts CBS THIS MORNING 7:00 AM EST,"April 28, 2020 Tuesday",4,Neutral,Expresses climate concern,Does not mention
2,042001cb.253,Fox News Network FOX HANNITY 9:00 PM EST,"April 20, 2020 Monday",3,Neutral,Neutral,Opposes
2,042001cb.253,Fox News Network FOX HANNITY 9:00 PM EST,"April 20, 2020 Monday",4,Neutral,Neutral,Opposes
3,042502CN.V47,CNN New Day Saturday 7:00 AM EST,"April 25, 2020 Saturday",3,Acknowledges,Expresses climate concern,Does not mention
3,042502CN.V47,CNN New Day Saturday 7:00 AM EST,"April 25, 2020 Saturday",4,Acknowledges,Expresses climate concern,Does not mention
4,042901cb.257,Fox News Network INGRAHAM ANGLE 10:00 PM EST,"April 29, 2020 Wednesday",10,Denies,Neutral,Does not mention
4,042901cb.257,Fox News Network INGRAHAM ANGLE 10:00 PM EST,"April 29, 2020 Wednesday",4,Denies,Neutral,Does not mention
5,042901cb.263,Fox News Network THE STORY WITH MARTHA MACCALLUM 7:00 PM EST,"April 29, 2020 Wednesday",10,Neutral,Neutral,Does not mention
5,042901cb.263,Fox News Network THE STORY WITH MARTHA MACCALLUM 7:00 PM EST,"April 29, 2020 Wednesday",4,Neutral,Neutral,Does not mention
6,042202CN.V40,CNN The Lead with Jake Tapper 4:30 PM EST,"April 22, 2020 Wednesday",10,Acknowledges,Expresses climate concern,Does not mention
6,042202CN.V40,CNN The Lead with Jake Tapper 4:30 PM EST,"April 22, 2020 Wednesday",4,Acknowledges,Expresses climate concern,Does not mention
7,042217CN.V11,CNN CNN NEWSROOM 12:00 AM EST,"April 22, 2020 Wednesday",10,Acknowledges,Expresses climate concern,Does not mention
7,042217CN.V11,CNN CNN NEWSROOM 12:00 AM EST,"April 22, 2020 Wednesday",4,Acknowledges,Expresses climate concern,Does not mention
8,042219CN.V11,CNN CNN NEWSROOM 2:00 AM EST,"April 22, 2020 Wednesday",10,Acknowledges,Expresses climate concern,Supports
8,042219CN.V11,CNN CNN NEWSROOM 2:00 AM EST,"April 22, 2020 Wednesday",4,Acknowledges,Expresses climate concern,Supports
