internal_id,annotator,policy,Paris Agreement,Green New Deal,Executive action,Emergency declaration,(De)regulation and laws,Renewable energy,Emission reduction,Oil and gas industry,Other climate policy
0,17,"['Paris Agreement', 'Green New Deal', 'Renewable energy', 'Emission reduction', 'Oil and gas industry', 'Other climate policy']",1,1,0,0,0,1,1,1,1
0,18,"['Paris Agreement', 'Green New Deal', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,1,0,0,0,1,1,1,0
2,17,['Green New Deal'],0,1,0,0,0,0,0,0,0
2,18,['Green New Deal'],0,1,0,0,0,0,0,0,0
8,17,"['Executive action', '(De)regulation and laws', 'Emission reduction', 'Oil and gas industry', 'Other climate policy']",0,0,1,0,1,0,1,1,1
8,18,"['Executive action', '(De)regulation and laws', 'Emission reduction', 'Oil and gas industry', 'Other climate policy']",0,0,1,0,1,0,1,1,1
20,17,"['Paris Agreement', 'Executive action', '(De)regulation and laws']",1,0,1,0,1,0,0,0,0
20,18,"['Paris Agreement', 'Executive action', '(De)regulation and laws']",1,0,1,0,1,0,0,0,0
23,17,"['Executive action', '(De)regulation and laws', 'Emission reduction', 'Oil and gas industry']",0,0,1,0,1,0,1,1,0
23,18,"['Executive action', '(De)regulation and laws', 'Emission reduction', 'Oil and gas industry']",0,0,1,0,1,0,1,1,0
25,18,"['Emission reduction', 'Oil and gas industry']",0,0,0,0,0,0,1,1,0
25,17,['Oil and gas industry'],0,0,0,0,0,0,0,1,0
26,17,['Executive action'],0,0,1,0,0,0,0,0,0
26,18,['Executive action'],0,0,1,0,0,0,0,0,0
30,17,"['Green New Deal', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",0,1,0,0,0,1,1,1,0
30,18,"['Green New Deal', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",0,1,0,0,0,1,1,1,0
36,18,['Oil and gas industry'],0,0,0,0,0,0,0,1,0
36,17,['Oil and gas industry'],0,0,0,0,0,0,0,1,0
43,18,"['Executive action', 'Renewable energy']",0,0,1,0,0,1,0,0,0
43,17,['Executive action'],0,0,1,0,0,0,0,0,0
49,17,"['Renewable energy', 'Emission reduction', 'Other climate policy']",0,0,0,0,0,1,1,0,1
49,18,"['Renewable energy', 'Emission reduction', 'Other climate policy']",0,0,0,0,0,1,1,0,1
53,17,['Green New Deal'],0,1,0,0,0,0,0,0,0
53,18,['Green New Deal'],0,1,0,0,0,0,0,0,0
77,17,"['Executive action', 'Emergency declaration', '(De)regulation and laws', 'Renewable energy', 'Oil and gas industry']",0,0,1,1,1,1,0,1,0
77,18,"['Executive action', '(De)regulation and laws', 'Renewable energy', 'Oil and gas industry']",0,0,1,0,1,1,0,1,0
81,17,"['(De)regulation and laws', 'Renewable energy', 'Emission reduction']",0,0,0,0,1,1,1,0,0
81,16,"['(De)regulation and laws', 'Renewable energy', 'Emission reduction']",0,0,0,0,1,1,1,0,0
82,17,"['(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",0,0,0,0,1,1,1,1,0
82,16,"['(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",0,0,0,0,1,1,1,1,0
86,17,[],0,0,0,0,0,0,0,0,0
86,18,[],0,0,0,0,0,0,0,0,0
112,17,[],0,0,0,0,0,0,0,0,0
112,18,[],0,0,0,0,0,0,0,0,0
139,17,['Green New Deal'],0,1,0,0,0,0,0,0,0
139,18,['Green New Deal'],0,1,0,0,0,0,0,0,0
174,17,"['Paris Agreement', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,0,0,0,0,1,1,1,0
174,18,"['Paris Agreement', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,0,0,0,0,1,1,1,0
175,17,"['Paris Agreement', 'Green New Deal', 'Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,1,1,0,1,1,1,1,0
175,18,"['Paris Agreement', 'Green New Deal', 'Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,1,1,0,1,1,1,1,0
184,17,"['Paris Agreement', 'Renewable energy', 'Emission reduction']",1,0,0,0,0,1,1,0,0
184,18,"['Paris Agreement', 'Renewable energy', 'Emission reduction']",1,0,0,0,0,1,1,0,0
187,17,"['Paris Agreement', 'Green New Deal', '(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,1,0,0,1,1,1,1,0
187,18,"['Paris Agreement', 'Green New Deal', 'Executive action', '(De)regulation and laws', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,1,1,0,1,1,1,1,0
190,18,['Other climate policy'],0,0,0,0,0,0,0,0,1
190,17,['Other climate policy'],0,0,0,0,0,0,0,0,1
191,18,"['Paris Agreement', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,0,0,0,0,1,1,1,0
191,17,"['Paris Agreement', 'Renewable energy', 'Emission reduction', 'Oil and gas industry', 'Other climate policy']",1,0,0,0,0,1,1,1,1
197,18,"['Paris Agreement', 'Renewable energy', 'Emission reduction', 'Oil and gas industry']",1,0,0,0,0,1,1,1,0
