,inner_id,internal_id,q3_coder_response,multiple_explained
0,1,0,Supports,"Many views expressed on both sides relating to the Green New Deal, California fire management, the Paris accords, and more general climate policy outlined by President Trump."
1,1,0,Supports,mention of the political divide on climate change
10,6,25,Supports,Environmental Protection Agency
38,20,175,Debate,trump disagrees with biden's policies
39,20,175,Debate,Clean Power Plan
49,25,197,Supports,Renewable energy
50,26,198,Opposes,critique of biden's climate plan
51,26,198,Opposes,Biden's views on climate are stated and then the anchors disagree
60,31,210,Neutral,Trumps views are stated then disagreed with by Biden
76,39,251,Supports,biden and trumps climate views are debated
77,39,251,Supports,Mention of Trump vs. Biden perspective on climate change (hoax vs. crisis)
78,40,253,Neutral,biden and trumps climate views are debated
79,40,253,Neutral,Mention of Trump misstation of Biden's position on climate change
80,41,256,Supports,anchors disagree
81,41,256,Supports,Disagreement between Weir and Unidentified Male (brothers) over whether manmade global warming is real
104,53,287,Neutral,democrat vs. trump on green new deal and other climate issues
105,53,287,Neutral,Democrat's support for the New Green Deal vs. Trump's energy policies mentioned
106,54,288,Debate,biden and trumps climate views are debated
107,54,288,Debate,debate about presidential candidates 
108,55,289,Neutral,anchors disagree
109,55,289,Neutral,discussion with different perspectives
112,57,305,Opposes,"the ""Obama-Biden Era Policies"" are mentioned and then disagreed with by bringing up what Trump did instead"
116,59,311,Opposes,debate on climate change from both sides
117,59,311,Opposes,Both pro and anti climate change policy shared in a debate setting
128,65,353,Neutral,Environmental Protection Agency's failure
132,67,373,Debate,Trump and Biden discussion on climate change
133,67,373,Debate,Debate between Trump and Biden
134,68,374,Debate,Trump and Biden debate
135,68,374,Debate,Debate
139,70,380,Neutral,Trump's views on climate are contested by anchors
142,72,383,Opposes,Biden + critiques
143,72,383,Opposes,Biden's climate views are stated then disagreed with
149,75,393,Opposes,Green new deal
156,79,412,Supports,Environmental Protection Agency
157,79,412,Supports,Trumps' climate views are implied and then disagreed with
161,81,428,Supports,Paris agreement
163,82,431,Supports,Renewable energy is said from trumps perspective and then biden rebutts
