,inner_id,internal_id,other_explained
0,1,0,"""In '92, the first President Bush signed the first U.N. Climate Accord. """
4,3,8,"""And with Donald Trump's Environmental Protection Agency gutting dozens of regulations, experts say a spike in pollution seems inevitable."""
5,3,8,Environmental Protection Agency (EPA)
20,11,49,"Recovery Act: ""a Recovery Act, a real recovery, we can fundamentally change the science relating to global warming. And we can create, seriously create, 10 million good-paying jobs. We can do it. It's within our power to do it. We can put in 550,000 charging stations along our highways. We can own the - the electric vehicle market. We can set up a transmission system across the country were we invest billions of dollars and do it, so we can transfer, across the country, to every - every other country, wind and solar energy,"""
21,11,49,Recovery Act
44,23,190,Great American Outdoors Act
45,23,190,Great American Outdoors Act
47,24,191,IEA clean energy roadmap
58,30,209,Build Back Better
59,30,209,Build Back Better
60,31,210,Build Back Better
61,31,210,Build Back Better
70,36,220,Bidens Climate Plan generally
71,36,220,Biden's climate policy
134,68,374,Billion Tree Project
135,68,374,Many details from both Biden and Trump's climate plans (or lack thereof) are explored in detail. Billion Tree Project. 
146,74,390,"""Biden's green deal"""
152,77,395,Climate Unity Task Force
153,77,395,Biden's Climate Unity Task Force
156,79,412,"California clean air standards, Obama era climate change initiatives"
157,79,412,"""rolled back the three most significant Obama era climate change initiatives, including the California clean air standards."""
158,80,415,Polish energy mentioned
159,80,415,Polish climate policy related to energy
163,82,431,Civilian Climate Corps
164,83,433,Recovery Act
165,83,433,Recovery Act
190,96,489,Trillion trees challenge
191,96,489,"""We brought the president an idea earlier this year to join the Trillion Trees challenge. And he said, absolutely, he thought that could sequester carbon and thought that would be a very productive way that wouldn`t destroy our economy."""
193,97,490,"Generally, ""Biden's Climate Plans"" are discussed"
198,100,496,"Greenpeace, Yale Project on Climate and C]ommunication"
203,102,514,biden and trumps climate views are debated
204,103,515,Climate Mayors
210,106,529,Clean Air Act from 1970s
211,106,529,Clean Air Act in the 1970s
212,107,542,Yale Project on Climate and Communications
230,116,675,"""United Nations has issued a new climate warning"""
231,116,675,"""United Nations has issued a new climate warning"""
232,117,684,Obama-era climate policies
233,117,684,Obama-era climate policies
236,119,699,Clean Water Act
237,119,699,Clean Water Act
244,123,707,Administrative procedure act
245,123,707,Administrative Procedure Act
246,124,708,Environmental Protection Agency (EPA)
247,124,708,Administrative Procedure Act
248,125,709,The Climate Reality Project
258,130,716,UN Climate Change programs
259,130,716,UN Climate Change programs
262,132,718,Trillion Trees Program
284,143,756,p$2 trillion package
285,143,756,"Joe Biden's ""$2 trillion package"""
300,151,778,$2 trillion climate plan
301,151,778,"""Biden campaigns $2 trillion climate plan"""
309,155,789,"Biden's ""carbon neutral economy by 2050...It's been part of his core plans."""
314,158,793,Clean Cars for America
315,158,793,Clean Cars for America
334,168,838,Denial of the issue
335,168,838,"Amy Cohen Barrett denies climate change is a serious issue, AOC points this out during senate hearing"
336,169,839,Not dealing with climate change
337,169,839,"'We have a court that will not let the next administration deal with policy emergencies like climate change"""
338,170,856,aspects of both campaigns 
339,170,856,other various aspects of both campaigns
342,172,869,House passing bills and Mitch McConnell blocking them
343,172,869,"House passing bills and Mitch McConnell blocking them, mention of climate within these policies"
344,173,877,Build back better
345,173,877,Build Back Better
358,180,907,Prevention against climate change 
359,180,907,"""mayor of Tel Aviv saying, 'it`s all part of the city`s strategic action plan to fight against pollution and prepare for climate change'""."
360,181,911,"host mentions that instead of a green new deal they need a ""green nuclear deal"""
361,181,911,Green Nuclear Deal
364,183,914,"""G-20 Summit"" and Trump"
365,183,914,G-20 Summit
381,191,935,Environmental Protection Agency (EPA)
390,196,945,"""climate accord"" is probably in reference to Paris Agreement but not entirely sure"
398,200,952,"Biden's ""two-trillion-dollar plan"""
399,200,952,Biden's plan
406,204,965,Policies from G-20 Summit
407,204,965,Policies from summit
411,206,967,infrastructure bill w/ green credentials
427,214,984,WHO (world health organization)
431,216,992,energy industry
444,223,1008,Build Back Better
445,223,1008,"""president-elects plan to build back better"""
447,224,1010,"""$10 trillion in new federal spending to address climate change"""
454,228,1029,climate change legislation mentioned by Obama
455,228,1029,"Obama mentioning ""climate change legislation"" "
464,233,1044,COP26 summit mentioned
465,233,1044,"""President-elect Biden about what he wants to do with the COP26 summit"""
466,234,1045,"Sunrise Movement, Cllimate 21"
467,234,1045,Climate 21
470,236,1047,COP26
477,239,1058,"""reversing the withdrawal from the World Health Organization"""
480,241,1063,bidens plan for new green economy
481,241,1063,"""new green economy"""
488,245,1067,energy system
489,245,1067,"'Sixty-five percent of the people in North Dakota think climate change is a problem"""
490,246,1071,biden investment
491,246,1071,"Biden ""investing $2 trillion in combating climate change"""
526,264,1109,Sunrise Movement
544,273,1132,clean energy jobs
546,274,1133,energy
548,275,1135,"Trump ""shreds climate change"""
553,277,1140,"""climate czar in John Kerry"""
558,280,1166,"Build Better Back plan, EPA"
570,286,1179,biden's policies to address energy issues
571,286,1179,Bidens' Climate Team
574,288,1186,Build Back Better
575,288,1186,"Biden's ""$1.7 trillion green spending program"", Build Back Better"
596,299,1219,rural plan for America
597,299,1219, Rural Plan for America
614,308,1262,"""Build back"""
615,308,1262,Bidens Build Back Better Plan
616,309,1263,Building Back Better
617,309,1263,Bidens Build Back Better Plan
620,311,1268,Build Back Better recovery plan
621,311,1268,Bidens Build Back Better Plan
622,312,1269,Build Back Better
623,312,1269,Bidens Build Back Better Plan
624,313,1270,green climate fund
625,313,1270,'Green Climate Fund' -- not sure if this is the Green New Deal
626,314,1271,Biden's plan
627,314,1271,Biden's 'Green Jobs' plan
634,318,1275,Cap and Trade Bill
640,321,1278,White House Office of Domestic Climate Policy
642,322,1279,WHO information policy
