,internal_id,media_outlet,policy
0,0,CNN,Supports
1,0,CNN,Supports
2,1,CBS,Does not mention
3,1,CBS,Does not mention
4,2,Fox,Opposes
5,2,Fox,Opposes
6,3,CNN,Does not mention
7,3,CNN,Does not mention
8,4,Fox,Does not mention
9,4,Fox,Does not mention
10,5,Fox,Does not mention
11,5,Fox,Does not mention
12,6,CNN,Does not mention
13,6,CNN,Does not mention
14,7,CNN,Does not mention
15,7,CNN,Does not mention
16,8,CNN,Does not mention
17,8,CNN,Supports
18,9,Fox,Does not mention
19,9,Fox,Does not mention
20,10,CNN,Does not mention
21,10,CNN,Does not mention
22,11,CNN,Does not mention
23,11,CNN,Does not mention
24,12,CNN,Does not mention
25,12,CNN,Does not mention
26,13,CNN,Does not mention
27,13,CNN,Does not mention
28,14,CNN,Does not mention
29,14,CNN,Does not mention
30,15,CNN,Does not mention
31,15,CNN,Does not mention
32,16,CNN,Does not mention
33,16,CNN,Does not mention
34,17,CNN,Does not mention
35,17,CNN,Does not mention
36,18,MSNBC,Does not mention
37,18,MSNBC,Does not mention
38,19,CNN,Does not mention
39,19,CNN,Does not mention
40,20,CNN,Does not mention
41,20,CNN,Supports
42,21,CNN,Does not mention
43,21,CNN,Does not mention
44,22,MSNBC,Does not mention
45,22,MSNBC,Does not mention
46,23,CNN,Supports
47,23,CNN,Supports
48,24,CNN,Does not mention
49,24,CNN,Does not mention
50,25,CNN,Supports
51,25,CNN,Supports
52,26,CNN,Supports
53,26,CNN,Supports
54,27,CNN,Does not mention
55,27,CNN,Does not mention
56,28,NBC,Does not mention
57,28,NBC,Does not mention
58,29,MSNBC,Does not mention
59,29,MSNBC,Does not mention
60,30,MSNBC,Supports
61,30,MSNBC,Supports
62,32,CNN,Does not mention
63,32,CNN,Does not mention
64,35,PBS,Does not mention
65,35,PBS,Does not mention
66,36,CNN,
67,36,CNN,
68,37,MSNBC,Does not mention
69,37,MSNBC,Does not mention
70,38,CNN,Does not mention
71,38,CNN,Does not mention
72,39,CNN,Does not mention
73,39,CNN,Does not mention
74,40,CNN,Does not mention
75,40,CNN,Does not mention
76,41,Fox,Does not mention
77,41,Fox,Does not mention
78,42,Fox,Does not mention
79,42,Fox,Does not mention
80,43,CBS,Supports
81,43,CBS,Supports
82,44,CNN,Does not mention
83,44,CNN,Does not mention
84,45,CNN,Does not mention
85,45,CNN,Does not mention
86,46,CNN,Does not mention
87,46,CNN,Does not mention
88,48,PBS,Does not mention
89,48,PBS,Does not mention
90,49,CNN,Supports
91,49,CNN,Supports
92,50,Fox,Does not mention
93,50,Fox,Does not mention
94,52,MSNBC,Does not mention
95,52,MSNBC,Does not mention
96,53,ABC,Opposes
97,53,ABC,Opposes
98,54,ABC,Does not mention
99,54,ABC,Does not mention
100,55,MSNBC,Does not mention
101,55,MSNBC,Does not mention
102,56,CNN,Does not mention
103,56,CNN,Does not mention
104,57,NBC,Does not mention
105,57,NBC,Does not mention
106,58,CNN,Does not mention
