,internal_id,media_outlet,climate_change,attitude,policy
0,0,CNN,Acknowledges,Expresses climate concern,Supports
1,0,CNN,Acknowledges,Expresses climate concern,Supports
2,1,CBS,Neutral,Expresses climate concern,Does not mention
3,1,CBS,Neutral,Expresses climate concern,Does not mention
4,2,Fox,Neutral,Neutral,Opposes
5,2,Fox,Neutral,Neutral,Opposes
6,3,CNN,Acknowledges,Expresses climate concern,Does not mention
7,3,CNN,Acknowledges,Expresses climate concern,Does not mention
8,4,Fox,Neutral,Expresses opposition to climate concern,Does not mention
9,4,Fox,Denies,Neutral,Does not mention
10,5,Fox,Neutral,Neutral,Does not mention
11,5,Fox,Neutral,Neutral,Does not mention
12,6,CNN,Acknowledges,Expresses climate concern,Does not mention
13,6,CNN,Acknowledges,Expresses climate concern,Does not mention
14,7,CNN,Acknowledges,Expresses climate concern,Does not mention
15,7,CNN,Acknowledges,Expresses climate concern,Does not mention
16,8,CNN,Acknowledges,Expresses climate concern,Does not mention
17,8,CNN,Acknowledges,Expresses climate concern,Supports
18,9,Fox,Neutral,Neutral,Does not mention
19,9,Fox,Neutral,Neutral,Does not mention
20,10,CNN,Acknowledges,Expresses climate concern,Does not mention
21,10,CNN,Acknowledges,Expresses climate concern,Does not mention
22,11,CNN,Neutral,Expresses climate concern,Does not mention
23,11,CNN,Neutral,Expresses climate concern,Does not mention
24,12,CNN,Neutral,Neutral,Does not mention
25,12,CNN,Neutral,Neutral,Does not mention
26,13,CNN,Acknowledges,Expresses climate concern,Does not mention
27,13,CNN,Acknowledges,Expresses climate concern,Does not mention
28,14,CNN,Acknowledges,Expresses climate concern,Does not mention
29,14,CNN,Acknowledges,Expresses climate concern,Does not mention
30,15,CNN,Acknowledges,Expresses climate concern,Does not mention
31,15,CNN,Acknowledges,Expresses climate concern,Does not mention
32,16,CNN,Neutral,Neutral,Does not mention
33,16,CNN,Neutral,Neutral,Does not mention
34,17,CNN,Acknowledges,Expresses climate concern,Does not mention
35,17,CNN,Acknowledges,Expresses climate concern,Does not mention
36,18,MSNBC,Acknowledges,Expresses climate concern,Does not mention
37,18,MSNBC,Acknowledges,Expresses climate concern,Does not mention
